muutama,couple,,,,,kimalainen,bumblebee,,"toiseksi viimeinen",second to last,,kaatopaikka,"dump, landfill",Se päätyy suoraan kaatopaikalle,alhainen - ylhäinen,low - high,,,,
firma,"company,entreprise,business,firm",,,,,kovakuoriainen,beetle,,"peräkkäin",one after the other,Liikennevaloissa on kaksi autoa peräkkäin,lasipurkki,glass jar,,yksinkertainen - monimutkainen,simple - complex,,,,
loistava,"brilliant,superb,excellent,splendid",,,,,leppäkerttu,ladybug,,"sopiiko kysyä",do you mind me asking,,keräys,collection,,rauhallinen - hätäinen,"calm - hasty, rash",,,,
,,,,,,sudenkorento,dragonfly,,"missä sulla on juuret, onko sulla juuria",what's your background,,,,,vasen - oikea,left - right,,,,
,,,,,,heinäsirkka,grasshopper,,"se käy järkeen,siinä on järkeä",it makes sense,,,,,yhteinen - erillinen,"joint, common - separate",,,,
,,,,,,muurahainen,ant,,"luulo ei ole tiedon väärti",It is much better to know for sure than to just guess or presume.,,,,,pitkäaikainen - lyhytaikainen,long-term - short-term,,,,
,,,,,,hämähäkki,spider,,"ellen ","if I not,unless I","Ellen syö, jään nälkäiseksi",,,,perinteinen - moderni,traditional - modern,,,,
,,,,,,mato,worm,,"epätodennäköinen","unlikely,improbable",Se on hyvin epätodennäköistä,,,,kirjallinen - suullinen,written - spoken,,,,
,,,,,,siipi,wing,,"surkea","miserable,lousy,crappy",Sää oli kyllä ihan surkea sen koko reissun ajan,,,,läheinen - kaukainen,close - remote,,,,
,,,,,,nisäkäs,mammal,,"kunhan","as long as,as soon as","Voit tulla syömään, kunhan olet pessyt kätesi. Tulen tapaamaan sinua, kunhan saan tämän valmiiksi (kuhan puhekielessä)",,,,lievä - vakava,mild - serious,,,,
,,,,,,apina,monkey,,"Totta puhuen,totta puhuakseni","To be honest,frankly,in all honesty",,,,,ankara - lempeä,harsh - gentle,,,,
,,,,,,delfiini,dolphin,,"järkyttyä",to be shocked,Vähän järkytyin kuinka ghetto se oli,,,,kokonainen - osittainen,complete - partial,,,,
,,,,,,haisunäätä,skunk,,"vierailla",visit,,,,,vakaa - horjuva,stable - shaky,,,,
,,,,,,hevonen,horse,,"haukkua","bark,badmouth,criticize",Kaikki kennen oon kuullut vaan vierailleen marseillessa haukkuu sitä paikkaa,,,,hullu - tervejärkinen,crazy - sane,,,,
,,,,,,hiiri,mouse,,"ajaututa",drift,Miten oot sitten Ouluun ajautunut?,,,,synkkä - kirkas,gloomy - bright,,,,
,,,,,,hirvi,moose,,,,,,,,jyrkkä - loiva,steep - gradual,,,,
,,,,,,hylje,phoque,,,,,,,,vastahakoinen - aulis,reluctant - eager,,,,
,,,,,,härkä,ox,,,,,,,,pakollinen - valinnainen,required - optional,,,,
,,,,,,ilves,lynx,,,,,,,,lojaali - petollinen,loyal - deceitful,,,,
,,,,,,"jänis,kani",rabbit,,,,,,,,ahdas - tilava,cramped - spacious,,,,
,,,,,,karhu,bear,,,,,,,,nöyrä - ylpeä,humble - proud,,,,
,,,,,,karitsa,lamb,,,,,,,,poikkeuksellinen - tavanomainen,exceptional - conventional,,,,
,,,,,,karju,boar,,,,,,,,villi - kesy,wild - tame,,,,
,,,,,,kettu,fox,,,,,,,,ulkoinen - sisäinen,external - internal,,,,
,,,,,,lammas,sheep,,,,,,,,joutilas - kiireinen,idle - busy,,,,
,,,,,,lehmä,cow,,,,,,,,lapsellinen - kypsä,childish - mature,,,,
,,,,,,lepakko,bat,,,,,,,,digitaalinen - analoginen,digital - analog,,,,
,,,,,,marsu,guinea pig,,,,,,,,niukka - runsas,scarce - abundant,,,,
,,,,,,norsu,elephant,,,,,,,,kitsas - antelias,stingy - generous,,,,
,,,,,,orava,squirrel,,,,,,,,raaka - kypsä,raw - ripe,,,,
,,,,,,peura,caribou,,,,,,,,terävä - tylppä,sharp - blunt,,,,
,,,,,,poro,reindeer,,,,,,,,kovaääninen - hiljainen,loud - quiet,,,,
,,,,,,hirvi,elk,,,,,,,,kiinteä - löysä,solid - loose,,,,
,,,,,,kauris,capricorn,,,,,,,,liberaali - konservatiivinen,liberal - conservative,,,,
,,,,,,sarvikuono,rhino,,,,,,,,raju - vaisu,fierce - subdued,,,,
,,,,,,siili,hedgehog,,,,,,,,kireä - löyhä,"tense, tight - lax, loose",,,,
,,,,,,sika,pig,,,,,,,,solakka - pulska,slender - plump,,,,
,,,,,,susi,wolf,,,,,,,,vakinainen - tilapäinen,permanent - temporary,,,,
,,,,,,valas,whale,,,,,,,,ehjä - rikki,intact - broken,,,,
,,,,,,vuohi,goat,,,,,,,,haitallinen - hyödyllinen,harmful - useful,,,,
,,,,,,kilpikonna,turtle,,,,,,,,rento - jännittynyt,relaxed - tense,,,,
,,,,,,käärme,snake,,,,,,,,myrskyisä - tyyni,stormy - calm,,,,
,,,,,,lisko,lizard,,,,,,,,pilvinen - pouta,cloudy - dry weather,,,,
,,,,,,papukaija,parrot,,,,,,,,aurinkoinen - sateinen,sunny - rainy,,,,
,,,,,,rotta,rat,,,,,,,,murea - sitkeä,tender - tough,,,,
,,,,,,matelija,reptile,,,,,,,,kesäinen - talvinen,summery - wintry,,,,
,,,,,,sammakko,frog,,,,,,,,lämmin - viileä,warm - chilly,,,,
,,,,,,koiras - naaras,male - female,,,,,,,,raitis - päihtynyt,sober - intoxicated,,,,
,,,,,,,,,,,,,,,raikas - tunkkainen,"fresh - stuffy, stale",,,,
,,,,,,,,,,,,,,,absoluuttinen - suhteellinen,absolute - relative,,,,
,,,,,,,,,,,,,,,salainen - julkinen,secret - public,,,,
,,,,,,,,,,,,,,,vanhanaikainen - nykyaikainen,old-fashioned - contemporary,,,,
,,,,,,,,,,,,,,,puutteellinen - täydellinen,"insufficient, deficient - perfect",,,,
,,,,,,,,,,,,,,,paljas - peitetty,bare - covered,,,,
,,,,,,,,,,,,,,,häpeällinen - kunniallinen,disgraceful - honorable,,,,
,,,,,,,,,,,,,,,kunnioitettava - halveksittava,respectable - despicable,,,,
,,,,,,,,,,,,,,,mustavalkoinen - värillinen,black and white - colored,,,,
,,,,,,,,,,,,,,,pinnallinen - syvä,superficial - deep,,,,
,,,,,,,,,,,,,,,keinotekoinen - luonnollinen,artificial - natural,,,,
,,,,,,,,,,,,,,,teennäinen - aito,"fake, forced - genuine",,,,
,,,,,,,,,,,,,,,hutera - tukeva,shaky - sturdy,,,,
,,,,,,,,,,,,,,,luottavainen - epäilevä,trusting - skeptical,,,,
,,,,,,,,,,,,,,,äkillinen - asteittainen,sudden - gradual,,,,
,,,,,,,,,,,,,,,automaattinen - manuaalinen,automatic - manual,,,,
,,,,,,,,,,,,,,,yksiselitteinen - kaksiselitteinen,unambiguous - ambiguous,,,,
,,,,,,,,,,,,,,,maallinen - taivaallinen,worldly - heavenly,,,,
,,,,,,,,,,,,,,,jalo - halpamainen,"noble - ignoble, vile",,,,
,,,,,,,,,,,,,,,jäykkä - joustava,rigid - flexible,,,,
,,,,,,,,,,,,,,,osa-aikainen - kokoaikainen,part-time - full-time,,,,
,,,,,,,,,,,,,,,hauras - kestävä,fragile - durable,,,,
,,,,,,,,,,,,,,,määrätietoinen - epäröivä,determined - hesitant,,,,
,,,,,,,,,,,,,,,akuutti - krooninen,acute - chronic,,,,
,,,,,,,,,,,,,,,nälkäinen - kylläinen,hungry - saturated,,,,
,,,,,,,,,,,,,,,passiivinen - aktiivinen,passive - active,,,,
,,,,,,,,,,,,,,,juhlava - arkinen,festive - casual,,,,
,,,,,,,,,,,,,,,vino - suora,slanted - straight,,,,
,,,,,,,,,,,,,,,sosiaalinen - ujo,social - shy,,,,
,,,,,,,,,,,,,,,hilpeä - masentava,"jolly, cheerful - depressing",,,,
,,,,,,,,,,,,,,,vaitelias - puhelias,taciturn - talkative,,,,
,,,,,,,,,,,,,,,karvainen - kalju,hairy - bald,,,,
,,,,,,,,,,,,,,,veltto - toimelias,"sluggish - energetic, active",,,,
,,,,,,,,,,,,,,,rapea - pehmeä,crispy - soft,,,,
,,,,,,,,,,,,,,,tulinen - mieto,spicy - mild,,,,
